time_s,forehead_R,forehead_G,forehead_B,left_cheek_R,left_cheek_G,left_cheek_B,nose_R,nose_G,nose_B,right_cheek_R,right_cheek_G,right_cheek_B,chin_R,chin_G,chin_B
0.0,141.825928,110.938957,84.947701,153.219421,112.328461,81.303902,151.760941,111.320396,84.540138,155.674393,117.2659,92.464554,129.816193,91.852608,72.88372
0.028459,141.772827,110.955574,84.847488,153.138214,112.26915,81.390427,151.71611,111.303917,84.587364,155.689072,117.265778,92.466492,129.704712,91.688431,72.837654
0.056918,141.875214,110.994942,84.995262,153.052216,112.207268,81.190872,151.67189,111.30542,84.469162,155.626358,117.251999,92.296104,129.55423,91.532288,72.673019
0.085378,142.106384,111.272873,85.050377,152.95372,112.153992,81.030319,151.639206,111.308167,84.4487,155.504272,117.23777,92.365685,129.555939,91.45224,72.711815
0.113837,142.388931,111.469933,85.227554,152.912766,112.136879,81.082893,151.659668,111.32164,84.50177,155.614365,117.290825,92.390785,129.500626,91.492081,72.619736
0.142296,142.432846,111.534988,85.235085,152.894852,112.185196,81.132446,151.644699,111.393494,84.485558,155.626465,117.441833,92.531128,129.459442,91.575729,72.594353
0.170755,142.611938,111.741776,85.427032,152.94725,112.202751,81.077484,151.729492,111.437447,84.652847,155.703873,117.50071,92.578812,129.546585,91.625473,72.65686
0.199215,142.253632,111.541664,85.265152,153.012939,112.315338,81.207626,151.708221,111.520737,84.685364,155.770645,117.623306,92.662277,129.657791,91.642586,72.647354
0.227674,142.08107,111.440971,85.098442,153.016937,112.362503,81.135193,151.735336,111.570526,84.557236,155.714325,117.576958,92.568947,129.467087,91.688042,72.680939
0.256133,142.34375,111.700394,85.220848,152.971283,112.447342,81.161263,151.64975,111.594276,84.443825,155.541901,117.592972,92.614677,129.486954,91.6726,72.648499
0.284592,142.25943,111.661919,85.206322,152.987747,112.520386,81.233238,151.547943,111.620239,84.278397,155.393082,117.297066,92.238007,129.338303,91.335518,72.240921
0.313051,141.858658,111.433876,85.06852,152.919357,112.503754,81.174232,151.50798,111.585419,84.321815,155.249329,117.212997,92.202255,129.194153,91.286423,72.235252
0.341511,142.29509,111.760735,85.330666,152.828354,112.477562,81.108261,151.464386,111.637161,84.314552,155.118317,117.241631,92.148827,129.09343,91.201256,72.231476
0.36997,142.129272,111.655617,85.343246,152.628906,112.317268,81.063385,151.413254,111.503899,84.446396,155.114197,117.187759,92.168785,128.930847,91.060524,72.047485
0.398429,142.103851,111.520691,85.222351,152.387711,111.990883,80.930809,151.306931,111.351852,84.158073,154.970551,116.925262,92.1408,128.743561,90.752831,71.931351
0.426888,141.970657,111.331978,85.180328,152.209991,111.76265,80.934204,151.188644,111.160378,84.127861,154.922821,116.793785,92.095276,128.531296,90.556396,71.735565
0.455347,141.862839,111.157433,85.003906,152.279724,111.705078,80.810654,151.180313,111.096848,84.071503,154.906799,116.741272,92.15255,128.454666,90.522034,71.667473
0.483807,142.001389,111.247612,85.097191,152.225372,111.656715,80.785805,151.127686,110.977852,84.052895,154.813522,116.609039,91.972519,128.373734,90.495323,71.614029
0.512266,141.798965,111.039398,85.045647,152.168961,111.565887,80.731628,151.073456,110.918037,83.995483,154.651291,116.506721,91.984146,128.377502,90.48642,71.61837
0.540725,142.337494,111.457138,85.391891,151.915253,111.392006,80.767563,150.950378,110.88517,84.07576,154.360764,116.414574,91.92067,128.341583,90.491547,71.67614
0.569184,143.245773,112.233582,85.970505,151.381714,111.138687,80.568268,150.245224,110.478065,83.502388,153.907715,116.288086,91.944168,128.761398,91.167587,72.066284
